"Table 427-0001 Number of international travellers entering or returning to Canada, by type of transport, monthly (persons)(1,7,10,11)",,,,,,,,,,,,
Survey or program details:,,,,,,,,,,,,
International Travel Survey: Frontier Counts - 5005,,,,,,,,,,,,
Geography,Canada,Newfoundland and Labrador,Prince Edward Island,Nova Scotia,New Brunswick,Quebec,Ontario,Manitoba,Saskatchewan,Alberta,British Columbia,Yukon
Traveller characteristics,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers,Total non-resident travellers
Jan-72,1379519,304,0,1278,198620,196989,786211,43216,9985,11335,129337,2244
Feb-72,1431063,596,0,1650,187360,211441,799740,49411,10068,11047,157583,2167
Mar-72,1739676,610,3,2189,202931,229958,992858,61683,12196,17235,217126,2887
Apr-72,2098156,980,6,4944,273350,279912,1240675,65433,13444,17398,197164,4850
May-72,2987394,940,28,7188,304867,320537,1913767,94265,21239,29130,288517,6916
Jun-72,4254545,1056,11,20045,373091,414176,2755526,149606,40536,74636,406225,19637
Jul-72,6987169,1792,224,32220,653754,679577,4526409,230641,56010,146913,620841,38788
Aug-72,6583003,1580,1055,36051,594821,690888,4220257,187559,41738,113724,663382,31948
Sep-72,3628550,1531,279,15891,395301,428347,2225613,104393,25763,48653,370307,12472
Oct-72,2473249,1136,28,10794,328624,362812,1419835,73455,21590,26216,224147,4612
Nov-72,1855704,858,0,2927,267046,248107,1059713,52982,14440,19892,186553,3186
Dec-72,1730150,2167,11,2963,243660,236733,995264,54207,10757,19050,162362,2976
Jan-73,1508870,1408,11,2083,197290,191385,910965,47891,10007,16851,129102,1877
Feb-73,1496932,852,0,2304,183567,211208,863294,44999,10366,17930,160310,2102
Mar-73,1859570,2422,5,2549,237234,249474,1065710,58799,13798,22504,203901,3174
Apr-73,2344516,1303,13,4922,280100,281192,1456766,58729,14829,25481,217677,3504
May-73,3038201,1554,4,7214,317020,334190,1923557,92054,22740,31961,299206,8701
Jun-73,4448501,2483,23,17517,399026,424158,2908084,149580,35170,76430,411031,24999
Jul-73,6896788,3178,128,45255,623377,672571,4424812,232657,45562,159917,649495,39836
Aug-73,6824473,3361,600,43507,577531,709614,4459137,188788,38456,125867,639633,37979
Sep-73,3681081,2253,1042,21118,370461,408863,2310435,111594,23637,55236,358631,17811
Oct-73,2589142,2092,0,8790,318874,353827,1541589,74911,19884,38504,225091,5580
Nov-73,1865690,1046,6,3070,257994,239614,1096167,53333,11487,22466,176733,3774
Dec-73,1735382,1328,2,3353,254365,233704,993955,49553,9252,21169,165300,3401
Jan-74,1428826,1522,0,1742,194851,192670,846068,39456,8846,15744,125906,2021
Feb-74,1479261,1013,0,1897,184883,220763,857993,38970,8560,17388,145810,1984
Mar-74,1773884,1077,0,2553,196268,229197,1066241,47675,11842,21263,194503,3265
Apr-74,2186514,1349,4,4246,216756,259937,1400457,50003,12990,26638,210014,4120
May-74,2951718,1352,7,7539,248754,304864,1968098,70686,19475,34198,288266,8479
Jun-74,4236090,2542,23,19564,311161,409833,2799041,133523,32254,77106,426884,24159
Jul-74,6320431,2434,565,42191,439661,594203,4242728,180251,38680,129917,614108,35693
Aug-74,6765296,3010,585,49803,435976,691588,4537426,169205,34329,100429,708465,34480
Sep-74,3211782,2109,795,18984,273250,374089,2019983,76505,20572,47902,359633,17960
Oct-74,2439716,1425,2,8879,229194,332332,1528838,59383,18253,26758,228191,6461
Nov-74,1890138,1055,7,3268,202559,239402,1180427,47708,12932,21383,177686,3711
Dec-74,1713754,1235,0,4051,217607,228553,1013186,47664,12137,20050,165491,3780
Jan-75,1455230,905,0,2707,172059,195148,892560,36923,9460,15152,127942,2374
Feb-75,1454913,1265,3,2496,165075,205365,888726,38088,9029,12628,129572,2666
Mar-75,1842890,1107,21,2577,197787,224651,1132549,44074,11800,17973,206638,3713
Apr-75,1861161,1006,4,3859,203788,216893,1154080,45504,10172,20679,200072,5104
May-75,3127165,859,9,7119,264522,309367,2097834,84174,20017,39615,294135,9514
Jun-75,4343860,1743,10,21818,319941,400404,2862849,162877,32100,84687,432576,24855
Jul-75,6286320,2685,465,46001,482910,562603,4145234,197385,42715,160321,606549,39452
Aug-75,6589034,2287,1072,48412,490548,630948,4369064,169859,36764,127892,675373,36815
Sep-75,2931139,2005,366,20861,268241,321227,1808081,74749,20585,52781,343075,19168
Oct-75,2429405,1293,10,8802,237481,311164,1534352,60759,19057,29852,219924,6711
Nov-75,1912627,690,5,2755,213375,232345,1211183,47980,12432,21723,165842,4297
Dec-75,1676053,633,0,3076,201145,217739,1011451,44158,10059,23064,160401,4327
Jan-76,1422130,732,0,1972,173891,179453,851314,39245,9218,18072,145406,2827
Feb-76,1452947,714,5,1380,158934,192816,886073,39142,9977,18657,141839,3410
Mar-76,1580295,863,0,2411,171906,190905,968773,41463,9692,21379,168877,4026
Apr-76,2126663,898,3,3122,208876,258391,1362317,53643,13928,25366,195124,4995
May-76,2881071,1195,3,7294,240102,294556,1884629,92099,20871,46379,283522,10421
Jun-76,3857986,1440,21,16935,281152,323555,2559031,137756,33199,80442,398573,25882
Jul-76,6070231,2849,60,42119,439387,708679,3889602,191277,41385,146402,568897,39574
Aug-76,5690906,2480,59,42906,392067,512243,3789957,155343,33421,123555,601683,37192
Sep-76,3253348,1519,75,19662,265010,342514,2058887,111404,23000,61414,350531,19332
Oct-76,2285357,1065,10,7395,229458,286416,1431442,71549,19524,26302,205023,7173
Nov-76,1648157,620,8,2123,185998,196857,1027022,49374,10725,16521,153889,5020
Dec-76,1539141,919,6,2678,179421,195380,930968,44239,10199,20710,150776,3845
Jan-77,1226023,878,5,1664,154521,155651,716538,34565,7978,17679,133112,3432
Feb-77,1307006,593,7,1439,148865,177168,758885,40190,9838,17713,149218,3090
Mar-77,1643109,951,0,1670,175898,184356,1011009,51880,11609,20836,180434,4466
Apr-77,2092445,1191,9,2453,205365,249388,1325229,56373,14031,23575,209880,4951
May-77,2909356,878,7,9038,244377,279394,1936299,93758,21978,33900,280025,9702
Jun-77,3760218,2083,174,18433,268496,317274,2489445,136942,31497,80785,391258,23831
Jul-77,6022633,2379,82,37528,454793,528593,4068277,162014,40425,131555,562559,34428
Aug-77,5513363,3635,87,36680,396399,476360,3720154,122447,33592,102070,586677,35262
Sep-77,3234261,5310,18,22308,264187,324687,2079411,84788,21914,52343,359492,19803
Oct-77,2280276,12587,8,11701,227185,262364,1426943,64799,18985,24963,224131,6610
Nov-77,1676398,1293,3,2276,194364,193722,1054926,37687,10068,14639,163584,3836
Dec-77,1533407,881,1,3074,189919,193952,912940,34919,7894,19827,166453,3547
Jan-78,1138895,817,2,1687,155041,145147,648320,32556,7308,13766,131699,2552
Feb-78,1347061,340,10,1470,164879,182080,788260,32319,6675,13097,155012,2919
Mar-78,1750784,934,4,2066,184925,202449,1087575,43575,10245,20305,194686,4020
Apr-78,1897529,1442,35,2751,197694,220478,1183327,43228,10805,20126,211755,5888
May-78,2795516,1924,9,6255,237372,271952,1838110,75645,19771,30518,305069,8891
Jun-78,3941941,2057,43,18183,284502,320141,2641286,114384,31043,76535,429671,24096
Jul-78,5988980,3186,77,39011,432500,547495,3982775,150875,39434,135360,615775,42492
Aug-78,5580176,3087,89,37484,375703,463464,3789716,116793,31097,106831,614476,41436
Sep-78,3206556,1893,100,25383,253231,323170,2066440,83301,18657,48127,364301,21953
Oct-78,2271452,13977,21,10582,203770,253090,1446621,52864,16822,27128,238369,8208
Nov-78,1722945,1350,63,2212,178121,194310,1095626,31653,8966,15332,189572,5740
